title,URL Link,Description,Objectives,Lecture Duration (hh:mm:ss),CME Credits,Teacher Name
"Diabetic Ketoacidosis, Pathogenesis and Clinical Presentation (Part 1)",https://members.drbeen.com/view/diabetic-ketoacidosis-pathogenesis-and-clinical-presentation-part-1/BygHnMCzb,"Diabetic Ketoacidosis (DKA) is the second most common presentation of type 1 diabetes mellitus. (First most common being early onset diabetes Mellitus.)\r\nIn this first part of the lecture we discuss:\r\nWhy is DKA more common in patients with type 1 diabetes mellitus.\r\nClinical signs and symptoms of DKA. The role of Insulin, Glucagon, Epinephrine, and Hormone Sensitive Lipase.\r\nElectrolyte disturbance and the mechanism of acidosis in DKA.","Diabetic Ketoacidosis (DKA) is the second most common presentation of type 1 diabetes mellitus. (First most common being early onset diabetes Mellitus.)\r\nIn this first part of the lecture we discuss:\r\nWhy is DKA more common in patients with type 1 diabetes mellitus.\r\nClinical signs and symptoms of DKA. The role of Insulin, Glucagon, Epinephrine, and Hormone Sensitive Lipase.\r\nElectrolyte disturbance and the mechanism of acidosis in DKA.",01:25:38,1.75,"Mobeen Syed, MD"
"Diabetic Ketoacidosis, Pathogenesis and Clinical Presentation (Part 2)",https://members.drbeen.com/view/diabetic-ketoacidosis-pathogenesis-and-clinical-presentation-part-2/r1lvjw0Rfb,Diabetic Ketoacidosis (DKA) is the second most common presentation of type 1 diabetes mellitus. (First most common being early onset diabetes mellitus.)\r\nIn this part of the lecture we will discuss:\r\nMechanism of the gastrointestinal (GIT) symptoms.\r\nBicarb levels in DKA.\r\nUnderstanding the difference between DKA and HHS.\r\nUnderstanding the lab results in DKA.,Diabetic Ketoacidosis (DKA) is the second most common presentation of type 1 diabetes mellitus. (First most common being early onset diabetes mellitus.)\r\nIn this part of the lecture we will discuss:\r\nMechanism of the gastrointestinal (GIT) symptoms.\r\nBicarb levels in DKA.\r\nUnderstanding the difference between DKA and HHS.\r\nUnderstanding the lab results in DKA.,01:26:48,1.75,"Mobeen Syed, MD"
"An Overview of common Ear, Nose, and Throat Conditions (do not publish)",https://members.drbeen.com/view/an-overview-of-common-ear-nose-and-throat-conditions-do-not-publish/H13cVQu4Z,"Dr. Zaafran explores the most common ENT conditions and introduces the pathology, history and physical examinations, and treatments necessary for primary care. He also incorporates the times advanced specialists need to be consulted. This lecture series is comprised of 3 parts and is meant to serve as a primer for subsequent lectures that delve deeper into each pathological condition.","Dr. Zaafran explores the most common ENT conditions and introduces the pathology, history and physical examinations, and treatments necessary for primary care. He also incorporates the times advanced specialists need to be consulted. This lecture series is comprised of 3 parts and is meant to serve as a primer for subsequent lectures that delve deeper into each pathological condition.",01:42:51,2,"Ahmed Zaafran, MD"
"An Overview of Common Ear, Nose, and Throat Conditions (Part 2)",https://members.drbeen.com/view/an-overview-of-common-ear-nose-and-throat-conditions-part-2/rygkpI3MSb,"Dr. Zaafran continues to explore the most common ENT conditions and introduces the pathology, history and physical examinations, and treatments necessary for primary care. He also incorporates the times advanced specialists need to be consulted. This lecture series is comprised of 3 parts and is meant to serve as a primer for subsequent lectures that delve deeper into each pathological condition. This is the second part.","Dr. Zaafran continues to explore the most common ENT conditions and introduces the pathology, history and physical examinations, and treatments necessary for primary care. He also incorporates the times advanced specialists need to be consulted. This lecture series is comprised of 3 parts and is meant to serve as a primer for subsequent lectures that delve deeper into each pathological condition. This is the second part.",00:41:27,1,"Ahmed Zaafran, MD"
TEST: Free,https://members.drbeen.com/view/test-free/rkwPEr0H-,,,00:02:14,0.5,
Test 1,https://members.drbeen.com/view/test-1/HJ9yivy_b,,,00:00:36,0.5,
Test 2,https://members.drbeen.com/view/test-2/BynJsPkdZ,,,00:00:57,0.5,
Test 3,https://members.drbeen.com/view/test-3/HyfVeiPJOW,,,00:01:07,0.5,
Test Video,https://members.drbeen.com/view/test-video/S1xi8mMO9-,,,00:02:09,0.5,
Question 1 Medical Fallacies,https://members.drbeen.com/view/question-1-medical-fallacies/H1xpCa9_5-,,,00:01:07,0.5,Luis A Verduzco M.D.
,https://members.drbeen.com/view//SJNyC9uq-,,,00:00:35,0.5,
Question2 Medical Fallacies,https://members.drbeen.com/view/question2-medical-fallacies/rJgMVC9O9Z,,,00:00:35,0.5,Luis A Verduzco M.D.
Question 3 Medical Fallacies,https://members.drbeen.com/view/question-3-medical-fallacies/ByLB05Oc-,,,00:00:33,0.5,
Question4 Medical Fallacies,https://members.drbeen.com/view/question4-medical-fallacies/BJeH8Rcu9-,,,00:00:13,0.5,
Question 5 Medical Fallacies,https://members.drbeen.com/view/question-5-medical-fallacies/H1etPR5ucW,,,00:00:31,0.5,
Question 7 Medical Fallacies,https://members.drbeen.com/view/question-7-medical-fallacies/r1-tCcucZ,,,00:00:27,0.5,
Question 6 Medical Fallacies,https://members.drbeen.com/view/question-6-medical-fallacies/r1x2kyju9Z,,,00:00:14,0.5,
Question 8 Medical Fallacies,https://members.drbeen.com/view/question-8-medical-fallacies/SJlhg1ouq-,,,00:00:15,0.5,
Question 9 Medical Fallacies,https://members.drbeen.com/view/question-9-medical-fallacies/rJgvQJo_9W,,,00:00:15,0.5,
Question 10 Medical Fallacies,https://members.drbeen.com/view/question-10-medical-fallacies/r1CEkj_cW,,,00:01:07,0.5,
small test,https://members.drbeen.com/view/small-test/HJ17kic9Z,,,00:02:09,0.5,
Q_1 Disorders of Large Bowel,https://members.drbeen.com/view/q_1-disorders-of-large-bowel/rkgNXM3-iW,,,00:00:54,0.5,"Sameer Islam, MD"
Q_2 Disorders of Large Bowel,https://members.drbeen.com/view/q_2-disorders-of-large-bowel/SklH7ihZib,,,00:01:01,0.5,"Sameer Islam, MD"
Pterygopalatine Ganglion,https://members.drbeen.com/view/pterygopalatine-ganglion/SJlXrMXgcG,,,00:03:52,0.5,
7th Cervical Vertebra ,https://members.drbeen.com/view/7th-cervical-vertebra/Byo8Uob5f,,,00:02:12,0.5,
Ansa Cervicalis,https://members.drbeen.com/view/ansa-cervicalis/HkY-xaGcG,,,00:02:18,0.5,
Anterior Triangle of the Neck,https://members.drbeen.com/view/anterior-triangle-of-the-neck/S1gaolafcG,,,00:09:58,0.5,
Atlas,https://members.drbeen.com/view/atlas/r1ljWb6M5G,,,00:04:07,0.5,
Carotid Triangle,https://members.drbeen.com/view/carotid-triangle/ByWBZTfcz,,,00:03:33,0.5,
Craniometry,https://members.drbeen.com/view/craniometry/rJgzSbaGqf,,,00:02:33,0.5,
"Axis, Atypical Vertebrae",https://members.drbeen.com/view/axis-atypical-vertebrae/ByXwZaf9z,,,00:04:24,0.5,
Cervical Vertebrae,https://members.drbeen.com/view/cervical-vertebrae/SJxDPbTz5f,,,00:02:50,0.5,
Inferior Alveolar Nerve,https://members.drbeen.com/view/inferior-alveolar-nerve/SkKcWTzqf,,,00:01:10,0.5,
Digastric Triangle,https://members.drbeen.com/view/digastric-triangle/Byx73-az9f,,,00:02:56,0.5,
Lingual Nerve,https://members.drbeen.com/view/lingual-nerve/Syl7Xfpf5M,,,00:02:23,0.5,
Ethmoid bone,https://members.drbeen.com/view/ethmoid-bone/H1l2Bf6fqM,,,00:03:23,0.5,
Hyoid Bone,https://members.drbeen.com/view/hyoid-bone/SJlQ8fTz5G,,,00:04:07,0.5,
Muscular Triangle,https://members.drbeen.com/view/muscular-triangle/ryl98fTf5z,,,00:01:09,0.5,
Infratemporal Fossa,https://members.drbeen.com/view/infratemporal-fossa/HJLdGpG5G,,,00:01:24,0.5,
Mandibular Nerve,https://members.drbeen.com/view/mandibular-nerve/ryKKzTM5f,,,00:04:15,0.5,
Otic Ganglion,https://members.drbeen.com/view/otic-ganglion/BkmRMafcG,,,00:02:39,0.5,
Pterygopalatine Fossa,https://members.drbeen.com/view/pterygopalatine-fossa/Skg5QQTz9z,,,00:01:59,0.5,
SEX Differences in the Skull,https://members.drbeen.com/view/sex-differences-in-the-skull/rkmSmpG9M,,,00:02:02,0.5,
Submental Triangle,https://members.drbeen.com/view/submental-triangle/H128mTz9f,,,00:01:16,0.5,
Trigeminal Ganglion,https://members.drbeen.com/view/trigeminal-ganglion/SJWP4pMcz,,,00:02:24,0.5,
Temporal Fossa,https://members.drbeen.com/view/temporal-fossa/SJlFDNTM9z,,,00:01:27,0.5,
Typical Vertebrae,https://members.drbeen.com/view/typical-vertebrae/B1z5ETG9z,,,00:05:52,0.5,
Posterior Triangle of the Neck ,https://members.drbeen.com/view/posterior-triangle-of-the-neck/r1xhbBazqM,,,00:04:46,0.5,
Clinical Applications of Anti-Histamine Drugs (Part 2)/Common Cold,https://members.drbeen.com/view/clinical-applications-of-anti-histamine-drugs-part-2common-cold/SyxlotFw6z,"In this lecture, Dr. Zaafran continues to explore the world of anti-histamines. In this presentation, he discusses:\r\n\r\n-What are decongestants?\r\n-What are the two main types used?\r\n-Are there different administration modalities?\r\n-What are the types of symptoms most often seen in patients requiring - \r\n nasal decongestants?\r\n-Discussion of cough physiology\r\n-Different types of cough\r\n- Mechanisms of anti-tussive (cough) medications\r\n-What are the different types of anti-tussives?\r\n-Review of the anti-tussive side effects","In this lecture, Dr. Zaafran continues to explore the world of anti-histamines. In this presentation, he discusses:\r\n\r\n-What are decongestants?\r\n-What are the two main types used?\r\n-Are there different administration modalities?\r\n-What are the types of symptoms most often seen in patients requiring - \r\n nasal decongestants?\r\n-Discussion of cough physiology\r\n-Different types of cough\r\n- Mechanisms of anti-tussive (cough) medications\r\n-What are the different types of anti-tussives?\r\n-Review of the anti-tussive side effects",00:19:41,0.75,"Ahmed Zaafran, MD"
Clinical Application of Respiratory Drugs (Part 2),https://members.drbeen.com/view/clinical-application-of-respiratory-drugs-part-2/ryHaBy_pf,"In this lecture, Dr. Zaafran continues to explore the world of anti-histamines. In this presentation, he discusses:\r\n\r\n-What are decongestants?\r\n-What are the two main types used?\r\n-Are there different administration modalities?\r\n-What are the types of symptoms most often seen in patients requiring - \r\n nasal decongestants?\r\n-Discussion of cough physiology\r\n-Different types of cough\r\n- Mechanisms of anti-tussive (cough) medications\r\n-What are the different types of anti-tussives?\r\n-Review of the anti-tussive side effects","In this lecture, Dr. Zaafran continues to explore the world of anti-histamines. In this presentation, he discusses:\r\n\r\n-What are decongestants?\r\n-What are the two main types used?\r\n-Are there different administration modalities?\r\n-What are the types of symptoms most often seen in patients requiring - \r\n nasal decongestants?\r\n-Discussion of cough physiology\r\n-Different types of cough\r\n- Mechanisms of anti-tussive (cough) medications\r\n-What are the different types of anti-tussives?\r\n-Review of the anti-tussive side effects",00:22:06,0.75,"Ahmed Zaafran, MD"
Staphylococcus - Toxic Shock Syndrome and Its Management,https://members.drbeen.com/view/staphylococcus-toxic-shock-syndrome-and-its-management/BkBysFy0f,"Toxic shock syndrome is a rare but deadly disease most common in young women using super-absorbent tampons. Staphylococcal toxin TSST-1 is responsible for this syndrome. Majority of the patient that fall ill with toxic shock syndrome also lack an adequate humoral response to the toxic shock syndrome toxin. In this brief video Dr. Mobeen discusses the syndrome, its presentation, diagnosis, pathophysiology, and the management.","Toxic shock syndrome is a rare but deadly disease most common in young women using super-absorbent tampons. Staphylococcal toxin TSST-1 is responsible for this syndrome. Majority of the patient that fall ill with toxic shock syndrome also lack an adequate humoral response to the toxic shock syndrome toxin. In this brief video Dr. Mobeen discusses the syndrome, its presentation, diagnosis, pathophysiology, and the management.",00:15:37,0.75,"Mobeen Syed, MD"
Staphylococcal Infective Endocarditis - (Staphylococcus),https://members.drbeen.com/view/staphylococcal-infective-endocarditis-staphylococcus/BklQfz8OxQ,Dr. Mobeen starts the discussion of the staphylococcal infections caused by organ invasion. This topic is the introduction to infective endocarditis in the context of staphylococcus.\r\n,Dr. Mobeen starts the discussion of the staphylococcal infections caused by organ invasion. This topic is the introduction to infective endocarditis in the context of staphylococcus.\r\n,00:11:49,0.5,"Mobeen Syed, MD"
Substance Abuse/Alcoholism,https://members.drbeen.com/view/substance-abusealcoholism/rJSRUwe-X,"Dr. Zaafran presents substance abuse, especially alcoholism. He discusses biological, psychological, and social models leading to the positive rewards. Role of impulsive personality and alcohol abuse. Physiological aspects leading to habit forming behaviors and alcoholism. Family history. Children of alcoholics (COA.) Genetic evidence of alcoholism tendency. Gender susceptibility. Type 1 Alcoholism. Psychological characteristics of alcoholism. Social factors. And, finally the media and its role in alcoholism.\r\n\r\n","Dr. Zaafran presents substance abuse, especially alcoholism. He discusses biological, psychological, and social models leading to the positive rewards. Role of impulsive personality and alcohol abuse. Physiological aspects leading to habit forming behaviors and alcoholism. Family history. Children of alcoholics (COA.) Genetic evidence of alcoholism tendency. Gender susceptibility. Type 1 Alcoholism. Psychological characteristics of alcoholism. Social factors. And, finally the media and its role in alcoholism.\r\n\r\n",00:18:18,0.75,"Ahmed Zaafran, MD"
"Staphylococcus - Diagnosing Acute Infective Endocarditis (Modified Duke's Criteria)",https://members.drbeen.com/view/staphylococcus-diagnosing-acute-infective-endocarditis-modified-dukes-criteria/Sygikpj4f7,"Dr. Mobeen discusses the modified duke's criteria and the clinical presentation of acute infective endocarditis. \r\n","Dr. Mobeen discusses the modified duke's criteria and the clinical presentation of acute infective endocarditis. \r\n",00:11:26,0.5,"Mobeen Syed, MD"
Current Approaches to Acute Infective Endocarditis (Staphylococcus Series),https://members.drbeen.com/view/current-approaches-to-acute-infective-endocarditis-staphylococcus-series/HyPp-nJ4Q,"Dr. Mobeen continues the discussion about infective endocarditis. In this short but important session he presents the management approach to acute infective endocarditis. He discusses the treatment approach when the patient is not acutely ill, when the patient is acutely ill, and when the culture and sensitivity is available and you know if the pathogen is methicillin sensitive or methicillin resistant.\r\n","Dr. Mobeen continues the discussion about infective endocarditis. In this short but important session he presents the management approach to acute infective endocarditis. He discusses the treatment approach when the patient is not acutely ill, when the patient is acutely ill, and when the culture and sensitivity is available and you know if the pathogen is methicillin sensitive or methicillin resistant.\r\n",00:07:23,0.5,"Mobeen Syed, MD"
Anxiety Disorders,https://members.drbeen.com/view/anxiety-disorders/HklmRE9UEm,"In this video, Dr. Jones discusses a number of anxiety disorders, including panic disorders, phobic anxiety disorders, agoraphobia, social phobia, simple phobia and generalized anxiety disorder","In this video, Dr. Jones discusses a number of anxiety disorders, including panic disorders, phobic anxiety disorders, agoraphobia, social phobia, simple phobia and generalized anxiety disorder",00:21:35,0.75, Adam Jones MD
Obsessive-Compulsive Disorder (OCD),https://members.drbeen.com/view/obsessive-compulsive-disorder-ocd/rkxzda4A4Q,"In this video, Dr. Jones discusses Obsessive Compulsive Disorder. Dr Jones explains the following for this disorder:\r\n* The typical history\r\n* The diagnostic criteria (DSM-V criteria)\r\n* The treatment approaches\r\nThe video ends with clinical scenarios, questions and a rapid review to recap on the important aspects of the disorders discussed. \r\n","In this video, Dr. Jones discusses Obsessive Compulsive Disorder. Dr Jones explains the following for this disorder:\r\n* The typical history\r\n* The diagnostic criteria (DSM-V criteria)\r\n* The treatment approaches\r\nThe video ends with clinical scenarios, questions and a rapid review to recap on the important aspects of the disorders discussed. \r\n",00:08:21,0.5, Adam Jones MD
Gender Dysphoria,https://members.drbeen.com/view/gender-dysphoria/SkgabfEWUQ,"In this video, Dr. Jones discusses Gender Dysphoria. Dr. Jones explains the following for this disorder:\r\n* The typical history\r\n* The diagnostic criteria (DSM-V criteria)\r\n* The treatment approaches\r\nThe video ends with some questions and a rapid review to recap on the critical aspects of Gender Dysphoria.","In this video, Dr. Jones discusses Gender Dysphoria. Dr. Jones explains the following for this disorder:\r\n* The typical history\r\n* The diagnostic criteria (DSM-V criteria)\r\n* The treatment approaches\r\nThe video ends with some questions and a rapid review to recap on the critical aspects of Gender Dysphoria.",00:07:49,0.5, Adam Jones MD
Post-Traumatic Stress Disorder (PTSD),https://members.drbeen.com/view/post-traumatic-stress-disorder-ptsd/SkeFf8bGLQ,"In this video, Dr. Jones discusses Post-Traumatic Stress Disorder, Acute Stress Disorder, and Brief Psychotic Disorder. Dr. Jones explains the following for each disorder:\r\n- Etiology \r\n- The typical history\r\n- The treatment approaches\r\nThe video ends with clinical scenarios, questions, and a rapid review to recap of the important aspects of the disorders discussed. ","In this video, Dr. Jones discusses Post-Traumatic Stress Disorder, Acute Stress Disorder, and Brief Psychotic Disorder. Dr. Jones explains the following for each disorder:\r\n- Etiology \r\n- The typical history\r\n- The treatment approaches\r\nThe video ends with clinical scenarios, questions, and a rapid review to recap of the important aspects of the disorders discussed. ",00:09:01,0.5, Adam Jones MD
Staphylococcus Skin Infections Impetigo Folliculitis Furuncles or Boils Carbuncles Cellulitis Surgical Wound,https://members.drbeen.com/view/staphylococcus-skin-infections-impetigo-folliculitis-furuncles-or-boils-carbuncles-cellulitis-surgical-wound/SJgoMSMiI7,"In this discussion Dr. Mobeen presents the pathophysiology, clinical aspects, and the current management approach to impetigo, foliculitis, furuncles or boils, carbuncles, cellulitis, and surgical wound infections caused by S. Aureus.","In this discussion Dr. Mobeen presents the pathophysiology, clinical aspects, and the current management approach to impetigo, foliculitis, furuncles or boils, carbuncles, cellulitis, and surgical wound infections caused by S. Aureus.",00:16:55,0.75,"Mobeen Syed, MD"
Impulse Control,https://members.drbeen.com/view/impulse-control/SJgGGqc6u7,"In this video, Dr Jones discusses Impulse Control Disorders. Dr Jones explains the following for a range of Impulse Control Disorders:\r\n* The typical history\r\n* The treatment approaches\r\nThe video includes questions throughout to emphasis the important aspects of Impulse Control Disorders.","In this video, Dr Jones discusses Impulse Control Disorders. Dr Jones explains the following for a range of Impulse Control Disorders:\r\n* The typical history\r\n* The treatment approaches\r\nThe video includes questions throughout to emphasis the important aspects of Impulse Control Disorders.",00:09:57,0.5, Adam Jones MD
Structure Of The Eyeball,https://members.drbeen.com/view/structure-of-the-eyeball/S165lsa_X,"In this video, Dr. Jones discusses the structure of the eyeball. \r\n\r\nDr. Jones explains the following:\r\n*The walls of the eyeball\r\n*The contents of the eyeball\r\n*The main vasculature supply and venous daring of the eyeball\r\n\r\nThe video includes questions throughout to emphasis the important aspects of the structure of the Eyeball.\r\n","In this video, Dr. Jones discusses the structure of the eyeball. \r\n\r\nDr. Jones explains the following:\r\n*The walls of the eyeball\r\n*The contents of the eyeball\r\n*The main vasculature supply and venous daring of the eyeball\r\n\r\nThe video includes questions throughout to emphasis the important aspects of the structure of the Eyeball.\r\n",00:07:02,0.5, Adam Jones MD
Streptococcus Pyogenes - Clinical Foundations,https://members.drbeen.com/view/streptococcus-pyogenes-clinical-foundations/SkBd3HFKX,"Did you know that streptococcus pyogenes is the most virulent of all streptococcal species? We are sure that strep/sore throat is a routine presentation in your clinic. In the US only streptococci pyogenes cause millions of yearly visits to healthcare facilities. Streptococci cause disease by direct organ invasion, by their enzymes, and by releasing exotoxins. Understanding streptococci thoroughly and then wielding a great command over the management approach will help you continue to be amazing for your patients. In this two part series we will talk about the streptococcal foundations necessary to understand and manage the disease, and then various diseases and their management. Let's start with the first part here. Make sure that you have understood this before the second part about the diseases and their management.","Did you know that streptococcus pyogenes is the most virulent of all streptococcal species? We are sure that strep/sore throat is a routine presentation in your clinic. In the US only streptococci pyogenes cause millions of yearly visits to healthcare facilities. Streptococci cause disease by direct organ invasion, by their enzymes, and by releasing exotoxins. Understanding streptococci thoroughly and then wielding a great command over the management approach will help you continue to be amazing for your patients. In this two part series we will talk about the streptococcal foundations necessary to understand and manage the disease, and then various diseases and their management. Let's start with the first part here. Make sure that you have understood this before the second part about the diseases and their management.",00:13:42,0.5,"Mobeen Syed, MD"
Somatoform Disorders,https://members.drbeen.com/view/somatoform-disorders/rkTB6Q2t7,"In this video, Dr. Jones discusses Somatoform Disorders. Dr. Jones explains the following for a range of Somatoform Disorders:\r\n- The typical history\r\n- The treatment approaches\r\nThe video includes clinical scenarios and questions to emphasize the important aspects of this topic. \r\n","In this video, Dr. Jones discusses Somatoform Disorders. Dr. Jones explains the following for a range of Somatoform Disorders:\r\n- The typical history\r\n- The treatment approaches\r\nThe video includes clinical scenarios and questions to emphasize the important aspects of this topic. \r\n",00:11:07,0.5, Adam Jones MD
Eating Disorders,https://members.drbeen.com/view/eating-disorders/r1eKdcwGiX,,,00:10:08,0.5, Adam Jones MD
Personality Disorders,https://members.drbeen.com/view/personality-disorders/BJxAA5Dzjm,"In this lectur we will talk about the presentation to a range of personality disorders. \r\n\r\nA person with a personality disorder will\r\nthink differently, \r\nFeel differently\r\nbehave differently \r\nor relates to others very differently from the average person.\r\n\r\nThe DSM-V states there are several different types of personality disorder, split into 3 clusters: \r\nContinue ...\r\n","In this lectur we will talk about the presentation to a range of personality disorders. \r\n\r\nA person with a personality disorder will\r\nthink differently, \r\nFeel differently\r\nbehave differently \r\nor relates to others very differently from the average person.\r\n\r\nThe DSM-V states there are several different types of personality disorder, split into 3 clusters: \r\nContinue ...\r\n",00:11:07,0.5, Adam Jones MD
Psychotic Disorders,https://members.drbeen.com/view/psychotic-disorders/rklMNswGoX,"In this lecture Dr. Adam Jones discusses the pathophysiology, presentation, diagnosis, and treatment approaches for a range of psychotic disorders. \r\nDiscussion especially includes the following disorders:\r\nDelusions\r\nHallucinations\r\nSchizophrenia\r\n\r\n\r\n","In this lecture Dr. Adam Jones discusses the pathophysiology, presentation, diagnosis, and treatment approaches for a range of psychotic disorders. \r\nDiscussion especially includes the following disorders:\r\nDelusions\r\nHallucinations\r\nSchizophrenia\r\n\r\n\r\n",00:14:06,0.5, Adam Jones MD
Drug Abuse,https://members.drbeen.com/view/drug-abuse/BJlJws8yhX,"In this video, Dr Jones discusses Drug Abuse. Dr Jones explains the following topics:\r\n* Presentation\r\n* Diagnosis \r\n* Treatment approaches\r\nTo a range of substance abuse disorders. \r\nThe video includes questions to consider the important aspects of this topic. \r\n","In this video, Dr Jones discusses Drug Abuse. Dr Jones explains the following topics:\r\n* Presentation\r\n* Diagnosis \r\n* Treatment approaches\r\nTo a range of substance abuse disorders. \r\nThe video includes questions to consider the important aspects of this topic. \r\n",00:07:07,0.5, Adam Jones MD
Mood Disorders,https://members.drbeen.com/view/mood-disorders/BkgqF6Uk3m,"In this video, Dr Jones discusses Mood Disorders. Dr Jones explains the following for these disorders:\r\n* The typical history\r\n* The diagnostic criteria (DSM-V criteria)\r\n* The treatment approaches\r\nThe video includes clinical scenarios and questions to consider the important aspects of this topic. \r\n","In this video, Dr Jones discusses Mood Disorders. Dr Jones explains the following for these disorders:\r\n* The typical history\r\n* The diagnostic criteria (DSM-V criteria)\r\n* The treatment approaches\r\nThe video includes clinical scenarios and questions to consider the important aspects of this topic. \r\n",00:07:11,0.5, Adam Jones MD
Streptococcus Pyogenes - Diseases and The Management Approach,https://members.drbeen.com/view/streptococcus-pyogenes-diseases-and-the-management-approach/Sye82FugpQ,"What 3 categories of diseases are caused by streptococcus pyogenes?\r\nWhat are the CDC's recommendations for managing strep throat? \r\nHow does the flesh eating disease pathogen (streptococcus pyogenes) cause the tissue to die?\r\nWhy most of the post-streptococcal glomerulonephritis patients may not need hospitalization?\r\nWhat is the role of clindamycin while managing streptococcal diseases?","What 3 categories of diseases are caused by streptococcus pyogenes?\r\nWhat are the CDC's recommendations for managing strep throat? \r\nHow does the flesh eating disease pathogen (streptococcus pyogenes) cause the tissue to die?\r\nWhy most of the post-streptococcal glomerulonephritis patients may not need hospitalization?\r\nWhat is the role of clindamycin while managing streptococcal diseases?",00:20:12,0.75,
Cerebrospinal Fluid,https://members.drbeen.com/view/cerebrospinal-fluid/S1WtXCIkE,"Cerebrospinal fluid is colorless fluid that fills the nervous system cavities. It acts as a protective cushion, and also is the vehicle for nutrient's exchange. \r\nUnderstanding the production, flow, drainage, and composition of the CSF is critical for a medical professional.\r\n","Cerebrospinal fluid is colorless fluid that fills the nervous system cavities. It acts as a protective cushion, and also is the vehicle for nutrient's exchange. \r\nUnderstanding the production, flow, drainage, and composition of the CSF is critical for a medical professional.\r\n",00:38:57,1,"Mobeen Syed, MD"
Cerebrospinal Fluid Review,https://members.drbeen.com/view/cerebrospinal-fluid-review/SyVG6iCJ4,"Cerebrospinal fluid is a colorless fluid that fills the nervous system cavities. It acts as a protective cushion, and also is the vehicle for nutrient's exchange. \r\nUnderstanding the production, flow, drainage, and composition of the CSF is critical for a medical professional.\r\n\r\nIn this talk Dr. Mobeen presents the following topics:\r\n\r\n1. The structures taking part in the formation of the blood-brain barrier\r\n2. Production of the cerebrospinal fluid (CSF)\r\n3. Circulation of CSF\r\n5. The composition of CSF in the following events:\r\nBacterial meningitis\r\nViral meningitis\r\nFungal meningitis\r\nTuberculosis\r\nTrauma\r\n","Cerebrospinal fluid is a colorless fluid that fills the nervous system cavities. It acts as a protective cushion, and also is the vehicle for nutrient's exchange. \r\nUnderstanding the production, flow, drainage, and composition of the CSF is critical for a medical professional.\r\n\r\nIn this talk Dr. Mobeen presents the following topics:\r\n\r\n1. The structures taking part in the formation of the blood-brain barrier\r\n2. Production of the cerebrospinal fluid (CSF)\r\n3. Circulation of CSF\r\n5. The composition of CSF in the following events:\r\nBacterial meningitis\r\nViral meningitis\r\nFungal meningitis\r\nTuberculosis\r\nTrauma\r\n",00:16:43,0.75,"Mobeen Syed, MD"
"Mood, Life And Death",https://members.drbeen.com/view/mood-life-and-death/HJSvCsHxN,"In this video, Dr Jones discusses Mood, Life and Death. Dr Jones explains the following topics:\r\n- Postpartum Mental Health Problems\r\n- Grief vs depression\r\n- Suicidality \r\nThe video includes clinical scenarios and questions to consider the important aspects of this topic. \r\n","In this video, Dr Jones discusses Mood, Life and Death. Dr Jones explains the following topics:\r\n- Postpartum Mental Health Problems\r\n- Grief vs depression\r\n- Suicidality \r\nThe video includes clinical scenarios and questions to consider the important aspects of this topic. \r\n",00:09:11,0.5, Adam Jones MD
Epithelial Cells Part 1,https://members.drbeen.com/view/epithelial-cells-part-1/Hkg9AiSeV,"In this video, Dr Jones discusses Epithelial cells. This is the first of two lectures on Epithelial cells. Dr Jones explains the following:\r\n- Classification of Epithelial cells \r\n- Shapes of Epithelial Cells\r\n- Layers of Epithelial Cells\r\n\r\nThis video highlights the important aspects of Epithelial Cells. ","In this video, Dr Jones discusses Epithelial cells. This is the first of two lectures on Epithelial cells. Dr Jones explains the following:\r\n- Classification of Epithelial cells \r\n- Shapes of Epithelial Cells\r\n- Layers of Epithelial Cells\r\n\r\nThis video highlights the important aspects of Epithelial Cells. ",00:13:35,0.5, Adam Jones MD
Epithelial Cells Part 2,https://members.drbeen.com/view/epithelial-cells-part-2/SJeJlehHx4,"In this video, Dr Jones discusses Epithelial cells. This is the second lecture. Dr Jones explains the following:\r\n\r\nPolarity of Epithelial cells\r\nCell Specialization\r\nClinically relevant questions to Epithelial cells\r\nThis video ends with the important clinical aspects of Epithelial Cells.","In this video, Dr Jones discusses Epithelial cells. This is the second lecture. Dr Jones explains the following:\r\n\r\nPolarity of Epithelial cells\r\nCell Specialization\r\nClinically relevant questions to Epithelial cells\r\nThis video ends with the important clinical aspects of Epithelial Cells.",00:13:27,0.5, Adam Jones MD
Management Of Asthma Part 1,https://members.drbeen.com/view/management-of-asthma-part-1/HJlwDo5cGN,In this webinar recording Dr. Mobeen discusses the pathophysiology and the management of the Asthma.,In this webinar recording Dr. Mobeen discusses the pathophysiology and the management of the Asthma.,00:44:08,1,"Mobeen Syed, MD"
Management of Asthma Part 2,https://members.drbeen.com/view/management-of-asthma-part-2/ry2Gyj9fN,In this webinar recording Dr. Mobeen discusses the pathophysiology and the management of the Asthma.\r\nStepwise management starts at the minute 13.,In this webinar recording Dr. Mobeen discusses the pathophysiology and the management of the Asthma.\r\nStepwise management starts at the minute 13.,00:18:00,0.75,"Mobeen Syed, MD"
